username,nom,categorie,instagram_followers,instagram_following,instagram_posts,tiktok_followers,youtube_subscribers,youtube_views,score_influence,niveau,audience_totale,categorie_encoded,ratio_ff,nb_plateformes
djtora_official,Djtora Official,Singer,306200,190,452,2100,0,0,32,Macro,308300,10,0.0006205074444564191,2
ichraqqamar,Ichraqqamar,Singer,343300,463,161,13700,0,0,32,Macro,357000,10,0.0013486707000562189,2
hanayaich,Hanayaich,Food,272600,3200,465,1000,0,0,32,Macro,273600,3,0.011738768383094705,2
hachemgaddouch,Hachemgaddouch,Video Blogger,305000,766,405,38600,0,0,32,Macro,343600,14,0.002511467175517457,2
hassendosss,Hassendosss,Singer,105500,136,717,0,0,0,32,Macro,105500,10,0.0012890873072293153,1
nour_guiga,Nour Guiga,Modeling,124800,1200,813,0,0,0,32,Macro,124800,7,0.009615307569650884,1
horcujet,Horcujet,Video Blogger,348000,1500,186,19,0,0,32,Macro,348019,14,0.004310332441573444,2
steevy_aymen,Steevy Aymen,Makeup Artist,341600,995,424,11,0,0,32,Macro,341611,6,0.002912754939241981,2
jebaliaziz,Jebaliaziz,Actors,419900,409,492,2,0,0,32,Macro,419902,0,0.0009740391187446565,2
wajdi.lakhal,Wajdi.Lakhal,Singer,98700,1000,232,3100,0,0,32,Macro,101800,10,0.010131609608818553,2
rimbougamra,Rimbougamra,TV Host,290400,409,400,734,0,0,32,Macro,291134,12,0.0014083973540036019,2
rahma_mdallaa,Rahma Mdallaa,Lifestyle,383900,7400,254,7800,0,0,32,Macro,391700,5,0.01927580287626237,2
iheb_msekni_10,Iheb Msekni 10,Sport,155000,244,108,1,0,0,32,Macro,155001,11,0.0015741833923652105,2
kalthoumhandous,Kalthoumhandous,TV Host,224200,51,915,0,0,0,32,Macro,224200,12,0.0002274744537267898,1
olfa_hammouda,Olfa Hammouda,Makeup Artist,51900,1800,1200,0,0,0,31,Micro,51900,6,0.034681412689543556,1
chekra_rammeh,Chekra Rammeh,Actors,83400,496,573,442,0,0,31,Micro,83842,0,0.005947170897231448,2
mariam_al_ferjani,Mariam Al Ferjani,Actors,79800,1700,1600,0,0,0,31,Micro,79800,0,0.021302991190586585,1
dalinsomnia,Dalinsomnia,Travel,38600,997,1800,0,0,0,31,Micro,38600,13,0.025828346415895962,1
