username,nom,categorie,instagram_followers,instagram_following,instagram_posts,tiktok_followers,youtube_subscribers,youtube_views,score_influence,niveau,audience_totale,categorie_encoded
beki_ksri,Beki Ksri,Video Blogger,2900000,2700,199,1800000,0,0,44,Mega,4700000,15
myriemboukadida,Myriemboukadida,Modeling,1300000,628,335,612600,0,0,44,Mega,1912600,8
bayazardi.officiel,Bayazardi.Officiel,TV Host,1700000,604,125,12000,0,0,44,Mega,1712000,13
raniatoumi_official,Raniatoumi Official,TV Host,1400000,2700,430,226300,0,0,44,Mega,1626300,13
mustafa_houas,Mustafa Houas,TV Host,838100,458,117,444800,0,0,44,Mega,1282900,13
rimelbenna,Rimelbenna,Actors,1000000,453,224,30,0,0,44,Mega,1000030,0
asmaothmaniofficial,Asmaothmaniofficial,Singer,1100000,408,1000,0,0,0,44,Mega,1100000,11
samy.chaffai,Samy.Chaffai,Video Blogger,1300000,2200,157,995800,0,0,44,Mega,2295800,15
lobnasediri,Lobnasediri,Actors,1700000,1100,281,783500,0,0,44,Mega,2483500,0
ghada.chaka,Ghada.Chaka,Actors,1200000,178,154,313500,0,0,44,Mega,1513500,0
fatmamahjoubofficial,Fatmamahjoubofficial,Sport,746900,748,253,318100,0,0,44,Mega,1065000,12
sami.fehri1,Sami.Fehri1,TV Host,2100000,1500,640,0,0,0,44,Mega,2100000,13
ahmed_landolsi,Ahmed Landolsi,Actors,1200000,1200,559,0,0,0,44,Mega,1200000,0
oussema.soulii,Oussema.Soulii,Makeup Artist,522100,1300,1600,0,0,0,43,Macro,522100,7
mariembchaabane,Mariembchaabane,Actors,535400,748,552,42,0,0,43,Macro,535442,0
seima_girl,Seima Girl,TV Host,609100,3900,1500,0,0,0,43,Macro,609100,13
kaouther.bel.haj,Kaouther.Bel.Haj,Actors,544400,548,753,353,0,0,43,Macro,544753,0
feriel_youssef,Feriel Youssef,Actors,769500,1500,2000,0,0,0,43,Macro,769500,0
raniagabsi,Raniagabsi,Actors,560500,1300,1200,0,0,0,43,Macro,560500,0
fatmanasserofficial,Fatmanasserofficial,Actors,1000000,1600,1600,0,0,0,43,Mega,1000000,0
salma_mahjoubi_officiel,Salma Mahjoubi Officiel,Actors,679500,2100,591,19,0,0,43,Macro,679519,0
peekette,Peekette,TV Host,762500,2200,2500,0,0,0,43,Macro,762500,13
lydiaasli,Lydiaasli,Fashion,538500,5000,583,69,0,0,43,Macro,538569,2
oumaima_trad,Oumaima Trad,Sport,468400,556,620,293400,0,0,43,Macro,761800,12
maryem__sakka,Maryem  Sakka,Lifestyle,938400,837,1200,0,0,0,43,Macro,938400,6
jihenemiled,Jihenemiled,TV Host,834200,58,917,158300,0,0,43,Macro,992500,13
meriembenhussein,Meriembenhussein,Actors,717900,1000,702,55600,0,0,43,Macro,773500,0
toumi_lina,Toumi Lina,Lifestyle,175000,1600,1300,307700,0,0,42,Macro,482700,6
kamiliayat,Kamiliayat,Lifestyle,454600,6600,1500,114,0,0,42,Macro,454714,6
hendjebali,Hendjebali,Lifestyle,137000,3800,2500,2,0,0,42,Macro,137002,6
instaieb,Instaieb,Lifestyle,187200,6400,1900,91,0,0,42,Macro,187291,6
bahakefi,Bahakefi,Singer,149100,2200,1100,3,0,0,42,Macro,149103,11
belleetgourmande,Belleetgourmande,Food,481700,4000,2000,8,0,0,42,Macro,481708,3
manel__hamrouni,Manel  Hamrouni,Doctor,217400,828,1200,11,0,0,42,Macro,217411,1
rymhammamy,Rymhammamy,Makeup Artist,162700,1400,1300,155,0,0,42,Macro,162855,7
hamdi_hadda,Hamdi Hadda,Actors,145400,1400,9200,381,0,0,42,Macro,145781,0
nourasamet,Nourasamet,Food,378400,3800,1600,51500,0,0,42,Macro,429900,3
sabrine_choura,Sabrine Choura,Food,105500,1800,3000,218,0,0,42,Macro,105718,3
jamilachihi,Jamilachihi,Actors,102200,566,1200,33300,0,0,42,Macro,135500,0
jannah_cuisine,Jannah Cuisine,Food,241300,777,1100,126,0,0,42,Macro,241426,3
nour_chiba_officiel,Nour Chiba Officiel,Singer,357400,792,1300,115200,0,0,42,Macro,472600,11
sami.benabdallah,Sami.Benabdallah,Lifestyle,165600,3600,1200,42300,0,0,42,Macro,207900,6
troudibilel,Troudibilel,Food,298400,988,2000,40800,0,0,42,Macro,339200,3
niels_aouay,Niels Aouay,Lifestyle,410700,4600,4800,1,0,0,42,Macro,410701,6
k__obs,K  Obs,Lifestyle,176300,1300,2000,51800,0,0,42,Macro,228100,6
yassine.gaidi,Yassine.Gaidi,Photographer,97800,3200,1100,6600,0,0,42,Macro,104400,9
amal.amamou,Amal.Amamou,Lifestyle,202100,1200,1500,1,0,0,42,Macro,202101,6
majdouline_beauty,Majdouline Beauty,Lifestyle,168100,3300,1200,6600,0,0,42,Macro,174700,6
inasaly,Inasaly,Actors,258600,517,1100,66100,0,0,42,Macro,324700,0
macneer,Macneer,Fashion,130199,969,2200,235,0,0,42,Macro,130434,2
thew_lifestyle,Thew Lifestyle,Lifestyle,441200,1500,1400,11,0,0,42,Macro,441211,6
nadhir_mindfreak,Nadhir Mindfreak,Photographer,140400,7500,1800,13,0,0,42,Macro,140413,9
ilef.b,Ilef.B,Modeling,342700,2100,2100,29500,0,0,42,Macro,372200,8
coucoulesgourmands,Coucoulesgourmands,Food,313100,2700,4900,835,0,0,42,Macro,313935,3
thequeen_nutella,Thequeen Nutella,Modeling,106100,933,4900,4200,0,0,42,Macro,110300,8
raoudhaamri_nutrition,Raoudhaamri Nutrition,Doctor,347900,1100,1200,118700,0,0,42,Macro,466600,1
tastemysweetlife,Tastemysweetlife,Food,281900,5900,3300,6,0,0,42,Macro,281906,3
a.l.a_official,A.L.A Official,Rap,1800000,762,4,50800,0,0,39,Mega,1850800,10
dali_benjemaa,Dali Benjemaa,Actors,1100000,861,173,0,0,0,39,Mega,1100000,0
youssef_msekni,Youssef Msekni,Sport,1200000,686,415,0,0,0,39,Mega,1200000,12
sanfara7050,Sanfara7050,Rap,2200000,196,37,713500,0,0,39,Mega,2913500,10
onsjabeur,Onsjabeur,Sport,1300000,286,444,0,0,0,39,Mega,1300000,12
aymenabdennour_,Aymenabdennour,Sport,2600000,2200,429,0,0,0,39,Mega,2600000,12
lotfiabdelli,Lotfiabdelli,Actors,2200000,5100,55,47600,0,0,39,Mega,2247600,0
yassinebengamra,Yassinebengamra,Actors,1300000,1400,205,0,0,0,39,Mega,1300000,0
chirinelajmi,Chirinelajmi,Singer,1000000,1500,97,290600,0,0,39,Mega,1290600,11
mastersina_official,Mastersina Official,Rap,1300000,196,10,270000,0,0,39,Mega,1570000,10
midouch_talbi,Midouch Talbi,Fashion,1100000,2100,62,130300,0,0,39,Mega,1230300,2
salemmonsieur,Salemmonsieur,Humor,738100,746,77,311900,0,0,39,Mega,1050000,5
sahri.bahri,Sahri.Bahri,Video Blogger,685700,993,212,121,0,0,38,Macro,685821,15
onshm,Onshm,Fashion,688100,756,474,57,0,0,38,Macro,688157,2
nasseem_ziadia,Nasseem Ziadia,Actors,768800,819,212,228500,0,0,38,Macro,997300,0
rihem_ben_alaya,Rihem Ben Alaya,Actors,594000,467,144,68700,0,0,38,Macro,662700,0
habibaghribi,Habibaghribi,Sport,514700,2100,581,0,0,0,38,Macro,514700,12
ahmed.riabi,Ahmed.Riabi,Video Blogger,517299,1200,177,424,0,0,38,Macro,517723,15
juliachaouachi,Juliachaouachi,Actors,760800,7500,463,22700,0,0,38,Macro,783500,0
ali_zitouni,Ali Zitouni,Sport,374700,501,361,264600,0,0,38,Macro,639300,12
ghalia.salhi,Ghalia.Salhi,Lifestyle,553000,114,121,1,0,0,38,Macro,553001,6
ahmed_kafon.officiel,Ahmed Kafon.Officiel,Singer,689300,213,167,71800,0,0,38,Macro,761100,11
sarra__cherif,Sarra  Cherif,Fashion,642800,1400,248,3100,0,0,38,Macro,645900,2
si_nacer,Si Nacer,Video Blogger,370300,1600,342,450400,0,0,38,Macro,820700,15
lacrazyrevolution,Lacrazyrevolution,Humor,495100,1000,205,59900,0,0,38,Macro,555000,5
ammarjemal5,Ammarjemal5,Sport,556200,388,184,796,0,0,38,Macro,556996,12
leilabenkhalifaofficial,Leilabenkhalifaofficial,Modeling,1000000,730,716,0,0,0,38,Mega,1000000,8
naoufelouertani,Naoufelouertani,TV Host,641400,1100,869,0,0,0,38,Macro,641400,13
medislambouglia,Medislambouglia,Sport,469300,443,295,215700,0,0,38,Macro,685000,12
benalouaneyohan,Benalouaneyohan,Sport,558100,379,486,111,0,0,38,Macro,558211,12
aymenlessigue,Aymenlessigue,Singer,98600,1200,926,5900,0,0,37,Macro,104500,11
nejibbelkadhi,Nejibbelkadhi,Actors,261700,1300,1100,0,0,0,37,Macro,261700,0
ksourimaya,Ksourimaya,TV Host,161500,1800,1500,0,0,0,37,Macro,161500,13
najla_chtourou,Najla Chtourou,Lifestyle,123300,4800,969,23200,0,0,37,Macro,146500,6
kenzaachiha,Kenzaachiha,Modeling,240900,2100,622,2600,0,0,37,Macro,243500,8
afefjnifen,Afefjnifen,Fashion,282100,50,1700,0,0,0,37,Macro,282100,2
raouf_maher,Raouf Maher,Singer,211200,69,909,546,0,0,37,Macro,211746,11
ibaa_hamli,Ibaa Hamli,Actors,399200,3100,1000,253,0,0,37,Macro,399453,0
benromdhaneolfa,Benromdhaneolfa,Singer,334000,876,633,1100,0,0,37,Macro,335100,11
tunisian.kitchen,Tunisian.Kitchen,Food,310500,1000,2400,0,0,0,37,Macro,310500,3
imen_mehrzi,Imen Mehrzi,Singer,130900,766,516,1700,0,0,37,Macro,132600,11
cherifa_naffeti,Cherifa Naffeti,Modeling,114400,627,1000,1300,0,0,37,Macro,115700,8
nahdi.dali.officiel,Nahdi.Dali.Officiel,Actors,431300,460,3400,0,0,0,37,Macro,431300,0
mariemsabbagh,Mariemsabbagh,Lifestyle,323200,1000,1600,0,0,0,37,Macro,323200,6
itsfarahyasmine,Itsfarahyasmine,Travel,266200,4100,869,12,0,0,37,Macro,266212,14
rabaa_essefi_officiel_,Rabaa Essefi Officiel,Actors,341400,1300,713,95600,0,0,37,Macro,437000,0
inessbousselmi,Inessbousselmi,Food,161800,1000,1100,0,0,0,37,Macro,161800,3
rochdi_belgasmi,Rochdi Belgasmi,Lifestyle,118000,348,573,58600,0,0,37,Macro,176600,6
sanabencheikhlarbi,Sanabencheikhlarbi,Actors,368000,990,823,1100,0,0,37,Macro,369100,0
mariem.nourddine,Mariem.Nourddine,Singer,439000,699,1200,0,0,0,37,Macro,439000,11
khawla_in_the_kitchen_,Khawla In The Kitchen,Food,181500,1000,606,1100,0,0,37,Macro,182600,3
diotisdiaries,Diotisdiaries,Lifestyle,315300,1700,739,9000,0,0,37,Macro,324300,6
kenzafourati,Kenzafourati,Modeling,127700,4800,1700,0,0,0,37,Macro,127700,8
khemissi_imen,Khemissi Imen,Lifestyle,119700,2200,631,2500,0,0,37,Macro,122200,6
nassimraissiofficial,Nassimraissiofficial,Singer,393900,1200,506,21,0,0,37,Macro,393921,11
khawlaboukhris,Khawlaboukhris,Lifestyle,179100,1500,867,50,0,0,37,Macro,179150,6
sayayassine,Sayayassine,Lifestyle,335000,450,574,161,0,0,37,Macro,335161,6
safwenboufarwa,Safwenboufarwa,Food,306900,992,675,129,0,0,37,Macro,307029,3
sabrinetrifi,Sabrinetrifi,Lifestyle,112300,3100,802,6600,0,0,37,Macro,118900,6
artmastaofficiel,Artmastaofficiel,Rap,448300,152,888,238,0,0,37,Macro,448538,10
asmamek,Asmamek,Lifestyle,361900,4400,680,6900,0,0,37,Macro,368800,6
sandy.aly,Sandy.Aly,Actors,360100,462,1100,0,0,0,37,Macro,360100,0
tarabine,Tarabine,Lifestyle,53600,5500,2000,22,0,0,36,Micro,53622,6
vitalunaspirit,Vitalunaspirit,Travel,71300,1200,1200,97,0,0,36,Micro,71397,14
